1,Zaytsev.Andrey,098F6BCD4621D373CADE4E832627B4F6
2,Mazin.Eugeniy,098F6BCD4621D373CADE4E832627B4F6
3,Panov.Dmitriy,098F6BCD4621D373CADE4E832627B4F6
4,Miroshkin.Sergey,098F6BCD4621D373CADE4E832627B4F6
5,Frenklikh.Yakov,098F6BCD4621D373CADE4E832627B4F6
6,Parfeniev.Eugeniy,098F6BCD4621D373CADE4E832627B4F6
7,Philippov.Dmitriy,098F6BCD4621D373CADE4E832627B4F6
8,Shtirov.Alexander,098F6BCD4621D373CADE4E832627B4F6
9,Kozhevnikov.Sergey,098F6BCD4621D373CADE4E832627B4F6
10,Mikhalevich.Mihail,098F6BCD4621D373CADE4E832627B4F6
